,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
67.5,7.41546154,-0.903846154,0.95,0,0.95,0.0461538462,0,0.0461538462,0,0.2
68,6.96353846,-1.034,1.034,0,1.034,0,0,0,0,0.2
68.5,6.44653846,-0.948,0.948,0,0.948,0,0,0,0,0.2
69,5.97253846,-1.044,1.044,0,1.044,0,0,0,0,0.2
69.5,5.45053846,-1.08,1.08,0,1.08,0,0,0,0,0.2
70,4.91053846,-0.832,0.832,0,0.832,0,0,0,0,0.2
70.5,4.49453846,-0.458,0.458,0,0.458,0,0,0,0,0.2
71,4.26553846,-0.412,0.412,0,0.412,0,0,0,0,0.2
71.5,4.05953846,-0.47,0.47,0,0.47,0,0,0,0,0.2
72,3.82453846,-0.482,0.482,0,0.482,0,0,0,0,0.1
72.5,3.58353846,-0.344,0.344,0,0.344,0,0,0,0,0.1
73,3.41153846,-0.376,0.376,0,0.376,0,0,0,0,0.1
73.5,3.22353846,-0.442,0.442,0,0.442,0,0,0,0,0.1
74,3.00253846,-0.372,0.372,0,0.372,0,0,0,0,0.1
74.5,2.81653846,-0.312,0.312,0,0.312,0,0,0,0,0.1
75,2.66053846,-0.45,0.45,0,0.45,0,0,0,0,0.1
75.5,2.43553846,-0.258,0.258,0,0.258,0,0,0,0,0.1
76,2.30653846,-0.342,0.342,0,0.342,0,0,0,0,0.1
76.5,2.13553846,-0.344,0.344,0,0.344,0,0,0,0,0.1
77,1.96353846,-0.434,0.434,0,0.434,0,0,0,0,0.1
77.5,1.74653846,-0.486,0.486,0,0.486,0,0,0,0,0.1
78,1.50353846,-0.882,0.882,0,0.882,0,0,0,0,0.2
78.5,1.06253846,-0.573846154,0.62,0,0.62,0.0461538462,0,0.0461538462,0,0.2
79,0.775615385,-0.243538462,0.482,0,0.482,0.238461538,0,0.238461538,0,0.2
79.5,0.653846154,0.114769231,0.316,0,0.316,0.430769231,0,0.430769231,0,0.2
80,0.711230769,0.159076923,0.464,0,0.464,0.623076923,0,0.623076923,0,0.2
80.5,0.790769231,0.595692308,0.412,0,0.412,1.00769231,0,1.00769231,0,0.2
81,1.08861538,0.857846154,0.396,0,0.396,1.25384615,0,1.25384615,0,0.2
81.5,1.51753846,0.964307692,0.428,0,0.428,1.39230769,0,1.39230769,0,0.2
82,1.99969231,0.938461538,0.7,0,0.7,1.63846154,0,1.63846154,0,0.2
82.5,2.46892308,1.12907692,0.794,0,0.794,1.92307692,0,1.92307692,0,0.2
83,3.03346154,1.40507692,0.518,0,0.518,1.92307692,0,1.92307692,0,0.2
83.5,3.736,2.09015385,0.456,0,0.456,2.54615385,0,2.54615385,0,0.2
84,4.78107692,2.29830769,0.494,0,0.494,2.79230769,0,2.79230769,0,0.2
84.5,5.93023077,2.43707692,0.786,0,0.786,3.22307692,0,3.22307692,0,0.2
85,7.14876923,1.70246154,0.796,0,0.796,3.46153846,0.963076923,2.49846154,0,0.2
85.5,8,0,0.918,0,0.918,3.41538462,2.49738462,0.918,0,0.2
86,8,0,0.81,0,0.81,3.17692308,2.36692308,0.81,0,0.2
86.5,8,0,1.502,0,1.502,3.12307692,1.62107692,1.502,0,0.2
87,8,0,1.414,0,1.414,3.07692308,1.66292308,1.414,0,0.2
87.5,8,0,0.82,0,0.82,2.79230769,1.97230769,0.82,0,0.2
88,8,0,0.644,0,0.644,1.68461538,1.04061538,0.644,0,0.2
88.5,8,0,0.804,0,0.804,2.35384615,1.54984615,0.804,0,0.2
89,8,0,0.944,0,0.944,1.83076923,0.886769231,0.944,0,0.2
89.5,8,0,1.064,0,1.064,1.58461538,0.520615385,1.064,0,0.2
90,8,-0.0784615385,1.04,0,1.04,0.961538462,0,0.961538462,0,0.2
90.5,7.96076923,-0.684923077,1.308,0,1.308,0.623076923,0,0.623076923,0,0.2
91,7.61830769,-1.17753846,1.416,0,1.416,0.238461538,0,0.238461538,0,0.2
91.5,7.02953846,-1.014,1.014,0,1.014,0,0,0,0,0.2
92,6.52253846,-1.396,1.396,0,1.396,0,0,0,0,0.2
92.5,5.82453846,-1.124,1.124,0,1.124,0,0,0,0,0.2
93,5.26253846,-0.872,0.872,0,0.872,0,0,0,0,0.2
93.5,4.82653846,-0.914,0.914,0,0.914,0,0,0,0,0.2
94,4.36953846,-0.932,0.932,0,0.932,0,0,0,0,0.2
94.5,3.90353846,-0.954,0.954,0,0.954,0,0,0,0,0.2
95,3.42653846,-0.934,0.934,0,0.934,0,0,0,0,0.2
95.5,2.95953846,-1.124,1.124,0,1.124,0,0,0,0,0.2
96,2.39753846,-0.934,0.934,0,0.934,0,0,0,0,0.1
96.5,1.93053846,-0.82,0.82,0,0.82,0,0,0,0,0.1
97,1.52053846,-0.506,0.506,0,0.506,0,0,0,0,0.1
97.5,1.26753846,-0.36,0.36,0,0.36,0,0,0,0,0.1
98,1.08753846,-0.398,0.398,0,0.398,0,0,0,0,0.1
98.5,0.888538462,-0.472,0.472,0,0.472,0,0,0,0,0.1
99,0.652538462,-0.45,0.45,0,0.45,0,0,0,0,0.1
99.5,0.427538462,-0.366,0.366,0,0.366,0,0,0,0,0.1
100,0.244538462,-0.324,0.324,0,0.324,0,0,0,0,0.1
100.5,0.0825384615,-0.165076923,0.358,0,0.358,0,0,0,0.192923077,0.1
101,0,0,0.28,0,0.28,0,0,0,0.28,0.1
101.5,0,0,0.298,0,0.298,0,0,0,0.298,0.1
102,0,0,0.374,0,0.374,0.0461538462,0,0.0461538462,0.327846154,0.2
102.5,0,0,0.378,0,0.378,0.192307692,0,0.192307692,0.185692308,0.2
103,0,0.0303076923,0.262,0,0.262,0.292307692,0,0.292307692,0,0.2
103.5,0.0151538462,0.174769231,0.356,0,0.356,0.530769231,0,0.530769231,0,0.2
104,0.102538462,0.239076923,0.384,0,0.384,0.623076923,0,0.623076923,0,0.2
104.5,0.222076923,0.633384615,0.282,0,0.282,0.915384615,0,0.915384615,0,0.2
105,0.538769231,0.624,0.576,0,0.576,1.2,0,1.2,0,0.2
105.5,0.850769231,1.24061538,0.344,0,0.344,1.58461538,0,1.58461538,0,0.2
106,1.47107692,1.17476923,0.556,0,0.556,1.73076923,0,1.73076923,0,0.2
106.5,2.05846154,1.806,0.794,0,0.794,2.6,0,2.6,0,0.2
107,2.96146154,1.73569231,0.572,0,0.572,2.30769231,0,2.30769231,0,0.2
107.5,3.82930769,1.94230769,0.85,0,0.85,2.79230769,0,2.79230769,0,0.2
108,4.80046154,2.18461538,0.8,0,0.8,2.98461538,0,2.98461538,0,0.2
108.5,5.89276923,2.68092308,0.496,0,0.496,3.17692308,0,3.17692308,0,0.2
109,7.23323077,1.53353846,0.592,0,0.592,3.26923077,1.14369231,2.12553846,0,0.2
109.5,8,0,0.532,0,0.532,3.12307692,2.59107692,0.532,0,0.2
110,8,0,0.428,0,0.428,3.17692308,2.74892308,0.428,0,0.2
110.5,8,0,0.426,0,0.426,3.03076923,2.60476923,0.426,0,0.2
111,8,0,0.446,0,0.446,2.93076923,2.48476923,0.446,0,0.2
111.5,8,0,0.406,0,0.406,2.73846154,2.33246154,0.406,0,0.2
112,8,0,0.334,0,0.334,2.5,2.166,0.334,0,0.2
112.5,8,0,0.468,0,0.468,2.21538462,1.74738462,0.468,0,0.2
113,8,0,1.014,0,1.014,1.87692308,0.862923077,1.014,0,0.2
113.5,8,0,0.758,0,0.758,1.49230769,0.734307692,0.758,0,0.2
114,8,0,0.72,0,0.72,1.00769231,0.287692308,0.72,0,0.2
114.5,8,-0.138923077,0.762,0,0.762,0.623076923,0,0.623076923,0,0.2
115,7.93053846,-0.541692308,0.734,0,0.734,0.192307692,0,0.192307692,0,0.2
115.5,7.65969231,-0.73,0.73,0,0.73,0,0,0,0,0.2
116,7.29469231,-0.75,0.75,0,0.75,0,0,0,0,0.2
116.5,6.91969231,-0.754,0.754,0,0.754,0,0,0,0,0.2
117,6.54269231,-0.784,0.784,0,0.784,0,0,0,0,0.2
117.5,6.15069231,-0.678,0.678,0,0.678,0,0,0,0,0.2
118,5.81169231,-0.986,0.986,0,0.986,0,0,0,0,0.2
118.5,5.31869231,-0.694,0.694,0,0.694,0,0,0,0,0.2
119,4.97169231,-0.604,0.604,0,0.604,0,0,0,0,0.2
119.5,4.66969231,-0.546,0.546,0,0.546,0,0,0,0,0.2
120,4.39669231,-0.52,0.52,0,0.52,0,0,0,0,0.1
120.5,4.13669231,-0.526,0.526,0,0.526,0,0,0,0,0.1
121,3.87369231,-0.586,0.586,0,0.586,0,0,0,0,0.1
121.5,3.58069231,-0.532,0.532,0,0.532,0,0,0,0,0.1
122,3.31469231,-0.408,0.408,0,0.408,0,0,0,0,0.1
122.5,3.11069231,-0.478,0.478,0,0.478,0,0,0,0,0.1
123,2.87169231,-0.48,0.48,0,0.48,0,0,0,0,0.1
123.5,2.63169231,-0.418,0.418,0,0.418,0,0,0,0,0.1
124,2.42269231,-0.322,0.322,0,0.322,0,0,0,0,0.1
124.5,2.26169231,-0.315846154,0.362,0,0.362,0.0461538462,0,0.0461538462,0,0.1
125,2.10376923,-0.35,0.35,0,0.35,0,0,0,0,0.1
125.5,1.92876923,-0.748,0.748,0,0.748,0,0,0,0,0.1
126,1.55476923,-0.85,0.95,0,0.95,0.1,0,0.1,0,0.2
126.5,1.12976923,-0.834,0.934,0,0.934,0.1,0,0.1,0,0.2
127,0.712769231,-1.02,1.12,0,1.12,0.1,0,0.1,0,0.2
127.5,0.202769231,-0.405538462,0.992,0,0.992,0.292307692,0,0.292307692,0.294153846,0.2
128,0,0,0.992,0,0.992,0.576923077,0,0.576923077,0.415076923,0.2
128.5,0,0.165692308,0.942,0,0.942,1.10769231,0,1.10769231,0,0.2
129,0.0828461538,0.00938461538,0.806,0,0.806,0.815384615,0,0.815384615,0,0.2
129.5,0.0875384615,0.364,0.936,0,0.936,1.3,0,1.3,0,0.2
130,0.269538462,0.115384615,0.8,0,0.8,0.915384615,0,0.915384615,0,0.2
130.5,0.327230769,0.932615385,0.752,0,0.752,1.68461538,0,1.68461538,0,0.2
131,0.793538462,-0.255692308,0.448,0,0.448,0.192307692,0,0.192307692,0,0.2
131.5,0.665692308,0.100923077,0.576,0,0.576,0.676923077,0,0.676923077,0,0.2
132,0.716153846,0.247846154,0.906,0,0.906,1.15384615,0,1.15384615,0,0.2
132.5,0.840076923,-0.277076923,0.854,0,0.854,0.576923077,0,0.576923077,0,0.2
133,0.701538462,0.115384615,0.7,0,0.7,0.815384615,0,0.815384615,0,0.2
133.5,0.759230769,-1.00369231,1.196,0,1.196,0.192307692,0,0.192307692,0,0.2
134,0.257384615,-0.0364615385,1.098,0,1.098,1.06153846,0,1.06153846,0,0.2
134.5,0.239153846,0.540461538,0.998,0,0.998,1.53846154,0,1.53846154,0,0.2
135,0.509384615,-0.274769231,1.044,0,1.044,0.769230769,0,0.769230769,0,0.2
135.5,0.372,-0.744,1.366,0,1.366,0.576923077,0,0.576923077,0.0450769231,0.2
136,0,0,0.78,0,0.78,0.192307692,0,0.192307692,0.587692308,0.2
136.5,0,0,0.93,0,0.93,0.1,0,0.1,0.83,0.2
137,0,0,1.02,0,1.02,0.1,0,0.1,0.92,0.2
137.5,0,0,1.024,0,1.024,0.0461538462,0,0.0461538462,0.977846154,0.2
138,0,0,1.238,0,1.238,0.0461538462,0,0.0461538462,1.19184615,0.2
138.5,0,0,0.998,0,0.998,0,0,0,0.998,0.2
139,0,0,0.886,0,0.886,0,0,0,0.886,0.2
139.5,0,0,1.196,0,1.196,0,0,0,1.196,0.2
140,0,0,1.02,0,1.02,0,0,0,1.02,0.2
140.5,0,0,0.796,0,0.796,0,0,0,0.796,0.2
141,0,0,0.966,0,0.966,0,0,0,0.966,0.2
141.5,0,0,1.084,0,1.084,0,0,0,1.084,0.2
142,0,0,0.91,0,0.91,0,0,0,0.91,0.2
142.5,0,0,0.656,0,0.656,0,0,0,0.656,0.2
143,0,0,0.56,0,0.56,0,0,0,0.56,0.2
143.5,0,0,0.416,0,0.416,0,0,0,0.416,0.2
144,0,0,0.31,0,0.31,0,0,0,0.31,0.1
144.5,0,0,0.452,0,0.452,0,0,0,0.452,0.1
145,0,0,0.252,0,0.252,0,0,0,0.252,0.1
145.5,0,0,0.446,0,0.446,0,0,0,0.446,0.1
146,0,0,0.386,0,0.386,0,0,0,0.386,0.1
146.5,0,0,0.39,0,0.39,0,0,0,0.39,0.1
147,0,0,0.478,0,0.478,0,0,0,0.478,0.1
147.5,0,0,0.424,0,0.424,0,0,0,0.424,0.1
148,0,0,0.402,0,0.402,0,0,0,0.402,0.1
148.5,0,0,0.358,0,0.358,0,0,0,0.358,0.1
149,0,0,0.306,0,0.306,0,0,0,0.306,0.1
149.5,0,0,0.472,0,0.472,0,0,0,0.472,0.1
150,0,0,0.578,0,0.578,0.0461538462,0,0.0461538462,0.531846154,0.2
150.5,0,0,0.286,0,0.286,0.1,0,0.1,0.186,0.2
151,0,0,0.452,0,0.452,0.146153846,0,0.146153846,0.305846154,0.2
151.5,0,0,0.77,0,0.77,0.292307692,0,0.292307692,0.477692308,0.2
152,0,0.0910769231,0.532,0,0.532,0.623076923,0,0.623076923,0,0.2
152.5,0.0455384615,0.547230769,0.322,0,0.322,0.869230769,0,0.869230769,0,0.2
153,0.319153846,1.29246154,0.246,0,0.246,1.53846154,0,1.53846154,0,0.2
153.5,0.965384615,1.52123077,0.448,0,0.448,1.96923077,0,1.96923077,0,0.2
154,1.726,1.91138462,0.204,0,0.204,2.11538462,0,2.11538462,0,0.2
154.5,2.68169231,1.32876923,0.402,0,0.402,1.73076923,0,1.73076923,0,0.2
155,3.34607692,1.45092308,0.326,0,0.326,1.77692308,0,1.77692308,0,0.2
155.5,4.07153846,1.13815385,0.308,0,0.308,1.44615385,0,1.44615385,0,0.2
156,4.64061538,1.44723077,0.522,0,0.522,1.96923077,0,1.96923077,0,0.2
156.5,5.36423077,1.45676923,0.374,0,0.374,1.83076923,0,1.83076923,0,0.2
157,6.09261538,1.60907692,0.414,0,0.414,2.02307692,0,2.02307692,0,0.2
157.5,6.89715385,0.395230769,0.474,0,0.474,0.869230769,0,0.869230769,0,0.2
158,7.09476923,0.625846154,0.628,0,0.628,1.25384615,0,1.25384615,0,0.2
158.5,7.40769231,-0.394769231,2.364,0,2.364,1.96923077,0,1.96923077,0,0.2
159,7.21030769,-0.712,2.012,0,2.012,1.3,0,1.3,0,0.2
159.5,6.85430769,0.648153846,0.698,0,0.698,1.34615385,0,1.34615385,0,0.2
160,7.17838462,0.481692308,0.626,0,0.626,1.10769231,0,1.10769231,0,0.2
160.5,7.41923077,-0.298769231,1.068,0,1.068,0.769230769,0,0.769230769,0,0.2
161,7.26984615,-0.341384615,0.826,0,0.826,0.484615385,0,0.484615385,0,0.2
161.5,7.09915385,-1.08784615,1.234,0,1.234,0.146153846,0,0.146153846,0,0.2
162,6.55523077,-0.855692308,1.048,0,1.048,0.192307692,0,0.192307692,0,0.2
162.5,6.12738462,-0.799846154,0.946,0,0.946,0.146153846,0,0.146153846,0,0.2
163,5.72746154,-1.256,1.256,0,1.256,0,0,0,0,0.2
163.5,5.09946154,-0.972,0.972,0,0.972,0,0,0,0,0.2
164,4.61346154,-0.728,0.728,0,0.728,0,0,0,0,0.2
164.5,4.24946154,-0.792,0.792,0,0.792,0,0,0,0,0.2
165,3.85346154,-0.882,0.882,0,0.882,0,0,0,0,0.2
165.5,3.41246154,-0.818,0.818,0,0.818,0,0,0,0,0.2
166,3.00346154,-0.536,0.536,0,0.536,0,0,0,0,0.2
166.5,2.73546154,-0.432,0.432,0,0.432,0,0,0,0,0.2
167,2.51946154,-0.454,0.454,0,0.454,0,0,0,0,0.2
167.5,2.29246154,-0.424,0.424,0,0.424,0,0,0,0,0.2
168,2.08046154,-0.294,0.294,0,0.294,0,0,0,0,0.1
168.5,1.93346154,-0.386,0.386,0,0.386,0,0,0,0,0.1
169,1.74046154,-0.272,0.272,0,0.272,0,0,0,0,0.1
169.5,1.60446154,-0.398,0.398,0,0.398,0,0,0,0,0.1
170,1.40546154,-0.296,0.296,0,0.296,0,0,0,0,0.1
170.5,1.25746154,-0.342,0.342,0,0.342,0,0,0,0,0.1
171,1.08646154,-0.486,0.486,0,0.486,0,0,0,0,0.1
171.5,0.843461538,-0.384,0.384,0,0.384,0,0,0,0,0.1
172,0.651461538,-0.362,0.362,0,0.362,0,0,0,0,0.1
172.5,0.470461538,-0.434,0.434,0,0.434,0,0,0,0,0.1
173,0.253461538,-0.308,0.308,0,0.308,0,0,0,0,0.1
173.5,0.0994615385,-0.198923077,0.458,0,0.458,0,0,0,0.259076923,0.1
174,0,0,0.508,0,0.508,0.0461538462,0,0.0461538462,0.461846154,0.2
174.5,0,0,0.468,0,0.468,0.0461538462,0,0.0461538462,0.421846154,0.2
175,0,0,0.39,0,0.39,0.192307692,0,0.192307692,0.197692308,0.2
175.5,0,0.148769231,0.282,0,0.282,0.430769231,0,0.430769231,0,0.2
